Percentage,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
100,0.002340571983117678,0.0020095705657373493,0.002005702645228061,0.0021901315031744315,0.0020070924393438016,0.0025400213899739498,0.00264562549672004,0.003045342947675733,0.0027650796069453682,0.0032792113483263922,0.003208811631086228,0.0037502367238025414,0.003943069993193592,0.0041481730331803645,0.004249055749987883,0.004515982031418171,0.004573048722217652,0.004536822944450548,0.005179887087826495,0.005163469251389778,0.004806646698194929,0.0052135706171048506,0.005042721449102387,0.004966550989493597,0.004873071980373712,0.004726416248593351,0.004735501837219665,0.004977017632385851,0.005183761530790794,0.005285975786891271,0.004869635734354868,0.0055822631566850075,0.0056467742368871915,0.005906094877300468,0.005884430465522409,0.006305801325327552,0.0058249541864979016,0.006840638052758439,0.0072664543556766985,0.007317490595224704,0.00755638701103736,0.007663319397668042,0.008328179936763887,0.008556748015184575,0.00794569827638662,0.0077204393834382394,0.007808658379051916,0.007918806049531496,0.008263896834099378,0.009029055710665217,0.009362299889364534,0.00896828510235631,0.008693670374694916,0.009429923577291733,0.009557485401681205,0.009628037016299034,0.00912720893852268,0.00954607468679717,0.00973889441158039,0.010530367532342289,0.0105974057567437,0.010361037823893882,0.010315900528735426,0.010440031983616897,0.010917052097524988,0.011198793239735442,0.011085774259363105,0.011156421514665619,0.010661750662205071,0.01089230396109855,0.011316781442894578,0.012217373090958113,0.012469822915881352,0.012696385845391582,0.013370763550020402,0.013591367699218343,0.013491433835102734,0.013257265927521716,0.013670411602055826,0.014378326134906949,0.014360320823868759,0.014296097531529791,0.014761972560315199,0.014926409696760186,0.014779349965780291,0.014876034707872928,0.01503113516002405,0.014382564289634818,0.014644944556077665,0.014670947343762215,0.014936082084200804,0.014448885831298393,0.014813333124123826,0.014555520424487198,0.014595746799143024,0.014536909940781289,0.014436338961335858,0.014556273913791827,0.014759211233644565,0.014174679074056229,0.014477464807580194,0.014416594441528827,0.014543105761642444,0.013978131198081478,0.013693830120088742,0.014191023861899238,0.013452346186408434,0.012761919779978256,0.009385041627929951
99,0.002216909174916813,0.0019039424175032729,0.0019017740237351729,0.0020690909814204497,0.0018927870490606802,0.0024051119372039903,0.0025093168968130337,0.0028929481890826786,0.002600544910942264,0.003113747075476559,0.0030359000063226167,0.003558307790842598,0.003761640812014517,0.0039601868561984915,0.004041677854699053,0.004295258187644477,0.0043367303895426885,0.004287927850095638,0.004921729268377229,0.004929470874664521,0.004545326758363205,0.0049422701840453834,0.004758956984127055,0.004666709125280351,0.004548834630025973,0.00441520079688468,0.004411871318990138,0.004633911610345725,0.004845184271411593,0.0049206188040111665,0.0045113989875730925,0.0052147701391406205,0.005261557257756157,0.005499582377951031,0.005493538424755401,0.00591133760011577,0.005417552743157904,0.006389753086473459,0.006825251877525136,0.006822941089423009,0.007043060575767477,0.007162346939272948,0.007805397412706983,0.008035561930991982,0.007466139659273303,0.007255635418668762,0.007333303957130826,0.00744085021758321,0.007758741981533037,0.008496714157572046,0.008835958128336154,0.008444525449108122,0.008213011021237093,0.0089174206740624,0.009051093021165534,0.009124414744758343,0.008627098457164539,0.00905771051609444,0.009248589892783203,0.010024207077701634,0.010098453684654488,0.009875354936289769,0.009826863622956481,0.009957754749890562,0.010429894139695866,0.010349118311586105,0.010237466428568258,0.01030949833600558,0.010212775105227166,0.010454688284898537,0.010440051045230046,0.011259870804522981,0.011522823562726601,0.011704470731563499,0.012374800050098356,0.012567545266273086,0.012462545654293463,0.012245087776068305,0.012612917123791458,0.013296234149674199,0.013299971877671736,0.013212029571696357,0.013667851482688344,0.013824560354781523,0.01367382885037668,0.01375626942420196,0.01391848344720302,0.013309535672511481,0.01356187943916148,0.013598592584210473,0.013855046505471947,0.013371064492319762,0.013730305467544253,0.013491647675186425,0.013539678367115037,0.01349649851627701,0.013404818181774846,0.013508338158216447,0.013714767645562028,0.013148639581978438,0.013462177638126455,0.013379451578454252,0.013482423010397171,0.012969169385542158,0.012709987601829285,0.013182205089495176,0.012472529074090933,0.01181319005736999,0.008976803705112791
98,0.002216909174916813,0.0019039424175032729,0.0019017740237351729,0.0020690909814204497,0.0018927870490606802,0.0024051119372039903,0.0025093168968130337,0.0028929481890826786,0.002600544910942264,0.003113747075476559,0.0030359000063226167,0.003558307790842598,0.0036025222030069345,0.0037744256680578344,0.003855395900384273,0.004075160351766855,0.004123458526834986,0.004081209666610313,0.004715766110244876,0.004727555312902292,0.004318205842710721,0.004734626654858133,0.004546639803248535,0.0044520521055635715,0.004325281546931398,0.004194532951651865,0.0041984327201651395,0.0044177444217750545,0.0046226922541389515,0.004704171736332676,0.004290975942860514,0.004997372149250623,0.005016869431644121,0.0052581219247766105,0.005269287624157911,0.005689300957971609,0.005175653557794118,0.006139127455401761,0.006533841554194758,0.006556019653439004,0.00673662827300052,0.006873199980392309,0.007469891574126026,0.007703117072517491,0.0070201007147949225,0.006948631832087115,0.007000876657890621,0.007146983110965774,0.0074392328980667334,0.008155020790676865,0.008493661573974505,0.00811748580789327,0.007903892782312617,0.008594838393426967,0.008733360384211734,0.00879552295764486,0.008321847015861682,0.008748030053694737,0.008938295408863105,0.009702966347821246,0.009766771232152138,0.009547982230053006,0.009502158503354478,0.009623035347001055,0.010089941799549588,0.010005872587485181,0.009879075917546108,0.009957288559017514,0.009818947787516255,0.01006754572833723,0.010068370783774368,0.010874157456116737,0.011136218072865103,0.01129700723142465,0.011969804002460093,0.012162075273325381,0.012052924592236275,0.011823848785798195,0.01220449111761186,0.012874583485340749,0.0128942696149361,0.012804287439641557,0.013249030790683371,0.013426369781815682,0.013264714841524671,0.013347965359628611,0.013516585734593693,0.012908915672549655,0.013161049639068986,0.013190842265480472,0.0134461033096952,0.012973376173717657,0.013288484611590533,0.013099427810968038,0.013146296450367431,0.01311092897901868,0.013013784624813732,0.013124198335102817,0.013327160622672328,0.012761403205870223,0.013076577967611431,0.012996427856022105,0.013104993620267933,0.012604705868341197,0.012352467234947316,0.01280062448894852,0.01210274125337261,0.011435276759989284,0.008635015407281052
97,0.0021059534517014885,0.0019039424175032729,0.0019017740237351729,0.0020690909814204497,0.0018927870490606802,0.0022712878484727906,0.0023767023691990924,0.002745377065033984,0.0024563412188752768,0.002955296920840643,0.0028729549763762815,0.003381838196598399,0.0036025222030069345,0.0037744256680578344,0.003855395900384273,0.004075160351766855,0.004123458526834986,0.004081209666610313,0.004715766110244876,0.004727555312902292,0.004318205842710721,0.004734626654858133,0.004546639803248535,0.0044520521055635715,0.004325281546931398,0.004194532951651865,0.0041984327201651395,0.0044177444217750545,0.0046226922541389515,0.004704171736332676,0.004290975942860514,0.004997372149250623,0.005016869431644121,0.0052581219247766105,0.005269287624157911,0.005472708967802567,0.005175653557794118,0.005922573905311715,0.006295510238858783,0.006304084566115657,0.006494999572897132,0.006624453203473682,0.007223485264980384,0.007425210427315884,0.006783838142045075,0.006679411972561371,0.006773058476725923,0.006873001002511975,0.007175873313206101,0.007877503945158857,0.008183245120861687,0.0077970792191263735,0.007602733186345247,0.008288328494532357,0.008455004637629304,0.008481561192139473,0.008031758587310417,0.00844980278569574,0.008648141594420579,0.009390214813016386,0.009438757562532716,0.009225340935519268,0.009189420070406061,0.00930751548731559,0.009753673067409745,0.009680783600876843,0.009563074695154708,0.00964357038502606,0.009455845419135609,0.009717294080387778,0.009775271863933165,0.010553972609807201,0.010816877531997867,0.010982698840695249,0.011627371740533285,0.01182962766228812,0.01170038163624218,0.011475814292717594,0.011841692310724733,0.012513133700007848,0.012517506348653378,0.012418833570232091,0.012863911074671518,0.01303696351182269,0.012868199712160256,0.012957155595848127,0.013117454720519763,0.012518773117258103,0.012771295699577785,0.012797421441830993,0.013051499411891525,0.012582034543124218,0.012894179134568636,0.012709809590357397,0.012761865134546899,0.012742509287892367,0.012655501728616375,0.012768301675695811,0.012976081786061557,0.012423378693847619,0.012734566555267168,0.012653867469064236,0.012757033345967063,0.012244459126520706,0.012008409881907246,0.012424260147755025,0.011740091103903576,0.011082692553652582,0.00831237343848427
96,0.0021059534517014885,0.001806896842144905,0.0017980705851474723,0.0019529300465531356,0.0017823980342617082,0.0022712878484727906,0.0023767023691990924,0.002745377065033984,0.0024563412188752768,0.002955296920840643,0.0028729549763762815,0.003381838196598399,0.0034740583282120143,0.0036189203801420223,0.0036740664302670318,0.00390115195792908,0.003951211920136374,0.0039098400862608235,0.004534762011243487,0.004528192598542217,0.0041355647144942186,0.004541844887742974,0.004356116365890428,0.004254240097275456,0.0041432349812956,0.003988975777549664,0.003995468761762509,0.004206001236353899,0.004420513745205478,0.004496835281260839,0.004071059974850244,0.004780311227927306,0.004807879885853695,0.005040126751897033,0.005051559641917826,0.005472708967802567,0.004964092593435176,0.005922573905311715,0.006295510238858783,0.006304084566115657,0.006494999572897132,0.006378005292127977,0.006981330680829938,0.007189240276229351,0.006552018842894099,0.006441941539478571,0.006551614171560973,0.006635000377959749,0.0069411553655949155,0.007603812190318958,0.007932427694751802,0.007505019993524361,0.007368435701691519,0.00803158041445176,0.008184663865897527,0.008230414683137488,0.007775086919107945,0.008187944179674361,0.00835844363678994,0.009099017783214692,0.0091370261702907,0.008909703447636412,0.00888679175777341,0.008997298140885193,0.009424165606394677,0.009366905204402608,0.009257178834717921,0.00934700726722917,0.00914914266666293,0.009411521410615511,0.009494532363544087,0.010252539857203454,0.010506616977176957,0.010672689496755932,0.01130255562943636,0.011501705517051784,0.01137013837335901,0.011145022932180308,0.01150753903071735,0.01217165639483965,0.012169007495289682,0.012080535711065198,0.012178471641347194,0.01235301538401967,0.012509669600183976,0.012600172201362772,0.012441891868953578,0.012176588508637058,0.012429183246932918,0.012458494973855915,0.01241690408577388,0.012256089640670556,0.012557647959233814,0.012389856625058279,0.012447317006383926,0.012430272759178733,0.012354561495921203,0.012468409959620919,0.012387975680592533,0.012126509040710665,0.01212909908446514,0.012320051696682549,0.012415985625282398,0.011895151497206394,0.011677943704449086,0.012083401700933005,0.011399224292798396,0.010760694654018181,0.008037686251802383
95,0.0021059534517014885,0.001806896842144905,0.0017980705851474723,0.0019529300465531356,0.0017823980342617082,0.0022712878484727906,0.0023767023691990924,0.002624867817266138,0.0024563412188752768,0.0028181339575520706,0.0027458519322687436,0.003235685876939696,0.0034740583282120143,0.0036189203801420223,0.0036740664302670318,0.00390115195792908,0.003951211920136374,0.0039098400862608235,0.004358219071435364,0.004334331113767933,0.0041355647144942186,0.004368869033358105,0.004356116365890428,0.004254240097275456,0.0041432349812956,0.003988975777549664,0.003995468761762509,0.004206001236353899,0.004420513745205478,0.004496835281260839,0.004071059974850244,0.004606361376282418,0.004616297621017484,0.00483636688029183,0.0048516102404797595,0.005256759066554779,0.004755567341604862,0.005717738452421568,0.006076354870003284,0.006073677274811107,0.006260808382224299,0.006378005292127977,0.006741564389593112,0.0069604070143839975,0.006330599131719526,0.006441941539478571,0.006333683050919705,0.006635000377959749,0.0069411553655949155,0.007350948195891391,0.007696660173815298,0.007252555329024258,0.0071397064835544135,0.0077819830773361255,0.007944683701629715,0.00798050538596195,0.00752502185179533,0.0079351413637403,0.008095520114292726,0.008820041214304884,0.008864382642336343,0.008624008147998857,0.008595999472188523,0.008692094368364827,0.009099278794742533,0.009098902423462493,0.00898268258730829,0.009080446446827914,0.008858118178817513,0.009131653168923667,0.009221547739207444,0.00995328676337794,0.010203815839296426,0.010363083088969799,0.01097801041656676,0.011176767481085783,0.011043150372014034,0.010846468751033116,0.011194313719251267,0.011542168261908525,0.011525108751367646,0.011751972621111065,0.011879786053482345,0.012059876546374868,0.011892926694540451,0.011996564055618227,0.01214123666228166,0.011606029027674733,0.01184781350560249,0.011896108327778265,0.0121256063797376,0.011702635434431842,0.012009276712576145,0.011859136259951903,0.011910081689213372,0.011906670366164359,0.011810932445596948,0.011927831283013307,0.012105856778651607,0.011547668499521765,0.011842505431620881,0.011740771771371583,0.011794339771816955,0.011556488105698199,0.011393430924062115,0.011523905947035479,0.011120727720472533,0.010494967972785355,0.007787101009335378
94,0.002006481601265507,0.001806896842144905,0.0017980705851474723,0.0019529300465531356,0.0017823980342617082,0.0021487238711237816,0.0022551546138443444,0.002624867817266138,0.002332877125239481,0.0028181339575520706,0.0027458519322687436,0.003235685876939696,0.0033464744807963557,0.003479916387795758,0.00353188448280926,0.003750030225903639,0.0037934322411297423,0.00375129096943672,0.004358219071435364,0.004334331113767933,0.00396888675343284,0.004368869033358105,0.0041855450967449095,0.004081620442060512,0.003966705678244224,0.0038305962211310335,0.003826657791155884,0.004029933425233624,0.004229308444745934,0.0042901742965630926,0.0038802011769104076,0.004606361376282418,0.004616297621017484,0.00483636688029183,0.0048516102404797595,0.005052162018146806,0.004755567341604862,0.005514501130020974,0.005859670085544696,0.005849939519314788,0.006029807164960303,0.0061436723343378,0.006741564389593112,0.006731652682047131,0.006330599131719526,0.006212053178984741,0.006333683050919705,0.006406287373395231,0.006708676123702093,0.007121077813220117,0.007471220376021598,0.007017296781616639,0.006914746660580612,0.007540229288732233,0.007708807998315251,0.007731882532225333,0.007284076934795204,0.007686849098284928,0.007840722859356398,0.008551003832980575,0.008602254265322498,0.008339851929383958,0.008311216861840786,0.008399547409220123,0.008815781598368674,0.00885142822139402,0.008734791331731297,0.008824847719097985,0.008594026332786999,0.008866821014102315,0.00895213096148957,0.009662875070203749,0.00991660140350785,0.010066298782654068,0.01068549652073826,0.010560915095385304,0.010743452508781266,0.01055146097530992,0.010896041969791997,0.011246787221995085,0.011228926359838768,0.011164498505934053,0.011590031579418627,0.011767753115475928,0.011604775156848284,0.011705382026516647,0.011841711873157697,0.011327928535900622,0.011563117138905154,0.011629773911897259,0.011840546475684725,0.011430312490706066,0.011737651718104269,0.011599640116982175,0.011649675542014439,0.011652059279377834,0.011555254700913198,0.011663050734257649,0.01183324228708115,0.01127688543054285,0.011565192027480633,0.01146803082576966,0.011519737239093528,0.011013405615914377,0.010856284967872172,0.011247022322354562,0.010851599719728797,0.010238148085561833,0.007571015862300591
93,0.002006481601265507,0.0017190116007847844,0.0017020636298291294,0.0018478435587214823,0.0016844983686574015,0.0021487238711237816,0.0022551546138443444,0.002624867817266138,0.002332877125239481,0.002683774525676301,0.002635850415040957,0.0030997974039519054,0.0033464744807963557,0.003479916387795758,0.00353188448280926,0.003750030225903639,0.0037934322411297423,0.00375129096943672,0.004197494771255559,0.00418570891962575,0.00396888675343284,0.004199152770343211,0.004019299141362727,0.004081620442060512,0.003966705678244224,0.0038305962211310335,0.003826657791155884,0.004029933425233624,0.004065034394417439,0.0042901742965630926,0.0038802011769104076,0.004437692265515524,0.004430603824715367,0.004644294333159321,0.004672099122792305,0.005052162018146806,0.004558613085375368,0.0053274023307016,0.0056452482733488265,0.005629679514178501,0.005805041324290527,0.005913394697843052,0.0065092518266825754,0.006526118164852038,0.006113775595700642,0.005984576930661315,0.0061244180968893815,0.0061831163753303066,0.006486567670372378,0.006905060492284704,0.0072472351233994715,0.007017296781616639,0.006914746660580612,0.007307236898165491,0.007482291368053743,0.0075036319337797655,0.007284076934795204,0.0074530588163169076,0.007601571602026444,0.008300611926146605,0.00835362502532708,0.008097741238031315,0.008066987393334597,0.008158121758106502,0.008570444228750364,0.008610671876243196,0.00849054260618464,0.008589931924545302,0.008339169222171405,0.008609707453741823,0.008710699966567832,0.00939611148819198,0.009652817010992774,0.0097733482819493,0.010137534276249052,0.010283939287885447,0.010192801401458795,0.010265201682207913,0.01032171213542151,0.010979242762953161,0.010950650696626527,0.010899239081635113,0.011316795411528607,0.011213415672759965,0.011317423883304093,0.01142022351238287,0.011561777074156643,0.011056235275499047,0.011292160597673014,0.01136606045071706,0.011576076631908261,0.011174475345385572,0.011468676265726925,0.011342496198593354,0.011403996758762044,0.011399211664974056,0.011305222148590238,0.011400401971232333,0.011583686345134576,0.011029741467595645,0.011324590676912032,0.011218905751808516,0.011249090106612049,0.010753356894155927,0.010591268478062514,0.010974391135660715,0.010587662070724731,0.009992698463488433,0.007367371302610691
92,0.002006481601265507,0.0017190116007847844,0.0017020636298291294,0.0018478435587214823,0.0016844983686574015,0.0021487238711237816,0.0022551546138443444,0.002508027132392368,0.0022176822712003073,0.002683774525676301,0.002635850415040957,0.0030997974039519054,0.0032238555439457082,0.003341333987124731,0.0033970484562272224,0.0036032204736399414,0.00363969642281337,0.0036078197665056094,0.004197494771255559,0.004039483007034718,0.003804059003729242,0.004199152770343211,0.004019299141362727,0.003909314658785495,0.0038019252126189973,0.00367422320295907,0.0036597989863688123,0.0038574880993532544,0.004065034394417439,0.004083824687232916,0.003704088717664737,0.004437692265515524,0.004253779478126096,0.004467369580205909,0.0044972599715115144,0.00487593809293769,0.004558613085375368,0.0053274023307016,0.0056452482733488265,0.005629679514178501,0.005805041324290527,0.005710785064752591,0.0062834718437253,0.006328393514812601,0.00593326047414403,0.005781133359929014,0.005935978416190264,0.005986758553849411,0.006277477572984741,0.006905060492284704,0.007041725761428721,0.006794779237006625,0.006704678848036605,0.007079946014470961,0.007259248870813461,0.007280034792965166,0.007044087787205166,0.007228471753238435,0.007367326050638658,0.008055697969805696,0.00811234535104153,0.00786214986848077,0.007828595609359936,0.00792490007929734,0.008332041348679481,0.008373866711799063,0.008254931325125205,0.008360150934994957,0.008110855907521823,0.00837533047271987,0.008476245982138605,0.00914446586612321,0.009399078636121593,0.009519139228288556,0.009891304233371138,0.01002091457219359,0.009940952971309997,0.009999057030720427,0.010049859938006226,0.010717526026679018,0.010684640985014548,0.010639480568223563,0.010791057375120584,0.010960777079579142,0.011038925726682086,0.011139728039512173,0.01104374403284447,0.010792863526426808,0.011029963529098111,0.011107815148214352,0.011085772176486252,0.010928816019545623,0.01121456223273112,0.011087005935695542,0.011160768323209001,0.011152402300014921,0.011061170517772327,0.011153985341245938,0.01109257953193071,0.010785759370934492,0.010848546889079403,0.010970492786812289,0.010989665238610759,0.010502439078314685,0.010352290181765166,0.010721011012568504,0.0100781581885649,0.009756327216471235,0.007178040978945356
91,0.001909494172275807,0.0017190116007847844,0.0017020636298291294,0.0018478435587214823,0.0016844983686574015,0.002050081144222653,0.00214562838907615,0.002508027132392368,0.0022176822712003073,0.002683774525676301,0.002635850415040957,0.0029749884570294733,0.0032238555439457082,0.003341333987124731,0.0033970484562272224,0.0036032204736399414,0.00363969642281337,0.0036078197665056094,0.004038846937900255,0.004039483007034718,0.003804059003729242,0.004032808711178181,0.003856456385306603,0.0037394389051085522,0.0036435557883479066,0.00367422320295907,0.0036597989863688123,0.0038574880993532544,0.0039076708508950396,0.003930774632884735,0.003704088717664737,0.004273523822658019,0.004253779478126096,0.004467369580205909,0.0044972599715115144,0.004719920312964755,0.0043721585821315054,0.005151385123888579,0.005451670719426064,0.00543657128166036,0.005582026040456931,0.005710785064752591,0.00606725912264619,0.006152588420117214,0.0057554017318730295,0.00557841945312826,0.005753328637999592,0.005796072776272672,0.006075259110684451,0.00669161249892478,0.006841952012650081,0.006576666262768844,0.0064967450930619765,0.006859433549672037,0.007037867327140287,0.007062987597114118,0.006820543252257518,0.007012291986234856,0.007139574074631939,0.007830956367154647,0.00789453276726792,0.007634428084396989,0.007599158008167905,0.007694375379385695,0.008103005686261613,0.008144168574329284,0.008022284492323745,0.008130527467351057,0.00788350080330957,0.00814612399248655,0.008251607462952299,0.008900686822438112,0.009158007095068392,0.00926600118438034,0.00966019926538111,0.00977874814385871,0.00970956214994955,0.00951291707209188,0.00981204465039672,0.010237014632506408,0.010435953017533086,0.010382020105217464,0.010553427528018957,0.010732545938069061,0.010557737733217755,0.010656340543342876,0.010800766461560909,0.01034097107688695,0.010572413687359575,0.010652484269920146,0.010856822422341783,0.010692125188012526,0.01074706632220319,0.010624560786005268,0.01092179588655495,0.010908810158126834,0.01058244484343169,0.010680763250143723,0.010856608933178696,0.010544161003622435,0.010626844091831431,0.010493620362011366,0.010513947721799012,0.010259584171185427,0.010121782622589979,0.010487016801399181,0.009850902638504348,0.009319427094019124,0.006988745708868673
