,word,year,count,language,Rank
13932,character,1800,38070,english,100.0
13933,character,1801,452,german,3136.0
11727,charette,1806,7134,french,1686.0
11726,charette,1836,951,spanish,4901.0
3950,charge,1800,11593,english,723.0
3952,charge,1800,11122,french,966.0
3951,charge,1810,408,italian,3775.0
13270,charges,1800,3376,english,2946.0
13271,charges,1800,3986,french,3065.0
8555,chargé,1800,16894,french,576.0
8554,chargé,1810,756,italian,1908.0
8523,chargés,1800,9364,french,1224.0
8522,chargés,1810,534,italian,2803.0
5250,charlemagne,1802,2846,english,4339.0
5251,charlemagne,1803,4459,french,3916.0
610,charles,1800,18750,english,337.0
614,charles,1800,10037,french,1113.0
613,charles,1925,8284,german,4355.0
611,charles,1944,10766,spanish,4820.0
612,charles,1959,7614,italian,4702.0
7229,charlotte,1809,897,german,1561.0
7228,charlotte,1820,6471,english,4503.0
9380,charte,1811,372,german,4115.0
9381,charte,1814,6698,french,1723.0
12087,chateaubriand,1832,5481,french,4818.0
12086,chateaubriand,1843,2314,spanish,3164.0
4102,chef,1800,27200,french,290.0
4101,chef,1804,408,german,3811.0
4100,chef,1810,598,italian,2485.0
9763,chefs,1800,15034,french,670.0
9762,chefs,1818,580,german,4284.0
8088,chem,1911,38108,english,4649.0
8089,chem,1947,3184,italian,4651.0
4105,chevalier,1800,4619,french,2661.0
4104,chevalier,1800,215,german,4878.0
4103,chevalier,1806,3384,english,4487.0
615,chicago,1868,16023,english,4446.0
619,chicago,1893,14648,french,4002.0
616,chicago,1956,14062,spanish,4965.0
618,chicago,1969,16425,german,4829.0
617,chicago,1994,13232,italian,4966.0
5127,chile,1800,742,spanish,4526.0
5126,chile,1826,7644,english,4176.0
5128,chile,1835,3210,german,2612.0
4394,chili,1808,4209,english,3957.0
4395,chili,1810,1258,italian,1005.0
4396,chili,1855,15230,french,3798.0
9753,chim,1809,3947,french,3958.0
9752,chim,1829,1119,german,4507.0
10593,chimica,1800,541,italian,1340.0
10592,chimica,1803,620,spanish,4782.0
1712,china,1800,660,italian,1048.0
1713,china,1800,574,german,1861.0
1710,china,1800,4996,english,1951.0
1711,china,1800,1680,spanish,2011.0
9327,chirurgie,1804,4134,french,3533.0
9326,chirurgie,1804,331,german,4664.0
6677,chlorine,1813,2465,french,4846.0
6676,chlorine,1880,20428,english,4925.0
5842,cho,1800,942,spanish,3603.0
5843,cho,1857,2064,italian,4823.0
4756,cholera,1831,12751,german,434.0
4755,cholera,1831,1866,italian,1767.0
4754,cholera,1832,9409,english,4322.0
10357,choléra,1831,26060,french,835.0
10356,choléra,1833,1322,italian,3598.0
10272,chopin,1910,4919,italian,2714.0
10273,chopin,1944,4793,french,3366.0
12253,chorion,1811,464,german,3271.0
12252,chorion,1814,1104,spanish,1363.0
4528,chose,1800,48642,french,99.0
4526,chose,1800,3458,english,2870.0
4527,chose,1808,424,italian,4858.0
8433,choses,1800,40992,french,141.0
8432,choses,1805,393,italian,3935.0
3473,christ,1800,40040,english,91.0
3474,christ,1800,302,german,3545.0
3475,christ,1800,3005,french,3967.0
2869,christi,1800,764,german,1342.0
2868,christi,1802,436,italian,3016.0
2867,christi,1824,656,spanish,2713.0
3191,christian,1800,22479,english,252.0
3192,christian,1800,440,german,2473.0
3193,christian,1971,19014,french,4683.0
9677,christine,1806,3081,french,3920.0
9676,christine,2001,23016,german,4952.0
5276,christo,1800,19690,spanish,35.0
5277,christo,1803,2298,german,531.0
8073,christophe,1856,12702,french,4709.0
8072,christophe,1913,46400,english,4000.0
7425,chromosomes,1930,10814,french,4670.0
7424,chromosomes,1934,29179,english,4800.0
7147,chron,1820,3430,italian,1020.0
7146,chron,1825,8970,english,4557.0
1572,churchill,1940,5522,german,3290.0
1570,churchill,1941,43028,english,3650.0
1571,churchill,1941,3656,italian,3874.0
1573,churchill,1944,4403,french,3656.0
3556,cic,1820,1285,german,2118.0
3554,cic,1834,4098,spanish,706.0
3555,cic,1918,2522,italian,3212.0
8360,cicatrice,1800,162,italian,4993.0
8361,cicatrice,1812,4123,french,3351.0
12818,cicero,1800,2630,english,3652.0
12819,cicero,1808,368,german,4820.0
8965,ciclo,1802,736,italian,1677.0
8964,ciclo,1924,4748,spanish,4801.0
6986,cid,1808,6081,english,2920.0
6987,cid,1820,820,spanish,4437.0
8377,ciel,1800,16986,french,570.0
8376,ciel,1802,640,italian,1971.0
5226,cielo,1800,13566,spanish,81.0
5227,cielo,1800,730,italian,910.0
11953,cifra,1824,1076,italian,4970.0
11952,cifra,1839,1014,spanish,3848.0
11025,cilindro,1800,314,italian,2539.0
11024,cilindro,1801,950,spanish,2827.0
5241,cinema,1955,5624,italian,4748.0
5240,cinema,2000,371655,english,4362.0
12652,cinta,1815,306,spanish,3984.0
12653,cinta,1842,1678,italian,4632.0
12541,cipriano,1808,446,italian,4611.0
12540,cipriano,1823,614,spanish,2411.0
7587,cir,1827,918,german,4017.0
7586,cir,1983,163797,english,4370.0
7326,circuit,1803,3802,english,3659.0
7327,circuit,1852,13220,french,3510.0
11923,circuito,1801,100,italian,3946.0
11922,circuito,1859,2188,spanish,4645.0
8094,circuits,1917,36816,english,4311.0
8095,circuits,1933,13912,french,3449.0
3120,circular,1800,1760,spanish,1920.0
3119,circular,1800,2296,english,4077.0
3121,circular,1802,457,german,3989.0
1289,circulation,1800,8210,french,1421.0
1286,circulation,1800,3192,english,3104.0
1287,circulation,1805,688,italian,2176.0
1288,circulation,1807,292,german,4911.0
2068,cit,1800,1037,italian,553.0
2069,cit,1800,7144,french,1679.0
2067,cit,1802,3366,spanish,778.0
2066,cit,1908,40655,english,4561.0
5604,cita,1800,1182,spanish,2890.0
5605,cita,1802,314,italian,4250.0
10315,citer,1800,5392,french,2290.0
10314,citer,1840,2644,italian,2295.0
4385,city,1800,34026,english,129.0
4386,city,1982,10469,italian,4864.0
4387,city,1997,16846,german,4954.0
3747,civ,1803,410,italian,4736.0
3748,civ,1807,3264,french,4290.0
3746,civ,1898,3058,spanish,4335.0
645,civil,1800,17010,english,396.0
646,civil,1800,2400,spanish,1347.0
649,civil,1800,4438,french,2749.0
648,civil,1802,863,german,2118.0
647,civil,1809,536,italian,3874.0
9056,civile,1800,762,italian,861.0
9057,civile,1800,6140,french,1988.0
6336,civiles,1800,1784,spanish,1885.0
6337,civiles,1800,3413,french,3523.0
2800,civilisation,1800,2518,french,4607.0
2799,civilisation,1826,1056,german,3823.0
2798,civilisation,1862,10380,english,4866.0
9990,civitas,1814,234,italian,4905.0
9991,civitas,1825,847,german,4359.0
12681,civitatis,1810,577,italian,2569.0
12680,civitatis,1818,1016,spanish,2374.0
8408,ck,1801,250,italian,1510.0
8409,ck,1831,1910,german,4155.0
2873,cl,1801,92,italian,4269.0
2875,cl,1807,2939,french,4714.0
2874,cl,1861,4746,german,4414.0
11875,clair,1800,8368,french,1391.0
11874,clair,1828,982,spanish,3804.0
7818,clan,1910,40221,english,4474.0
7819,clan,1941,4015,french,4281.0
3329,clara,1800,3710,spanish,749.0
3330,clara,1912,4926,italian,2849.0
3331,clara,1957,7671,german,4816.0
6936,clarendon,1810,3751,english,4913.0
6937,clarendon,1870,2369,italian,4696.0
2687,classe,1800,1320,italian,391.0
2689,classe,1800,18280,french,517.0
2688,classe,1800,569,german,1874.0
12753,classes,1800,10604,french,1039.0
12752,classes,1800,5686,english,1683.0
6767,classification,1800,2734,french,4300.0
6766,classification,1858,15025,english,4661.0
8281,claudia,1803,544,german,3044.0
8280,claudia,1805,2438,italian,440.0
11835,claudio,1800,198,italian,4079.0
11834,claudio,1830,4238,spanish,842.0
14254,clause,1800,2454,english,3861.0
14255,clause,1804,4528,french,3244.0
8079,clemens,1814,664,german,1996.0
8078,clemens,1912,43762,english,4387.0
11229,clemente,1800,306,italian,2606.0
11228,clemente,1800,799,spanish,4236.0
5553,clero,1800,310,italian,2565.0
5552,clero,1800,1282,spanish,2659.0
7277,client,1935,10198,french,4538.0
7276,client,1950,50681,english,4469.0
9216,cliente,1990,33059,spanish,4934.0
9217,cliente,1992,14913,italian,4045.0
7679,clients,1915,5076,french,4925.0
7678,clients,1973,113738,english,4878.0
2945,clima,1800,1776,spanish,1897.0
2946,clima,1800,210,italian,3852.0
2947,clima,1809,335,german,4422.0
7515,clin,1955,5573,italian,4786.0
7514,clin,1979,136083,english,4680.0
7868,clinical,1881,20999,english,4827.0
7869,clinical,2009,20882,spanish,4931.0
5033,clinton,1802,2424,english,4940.0
5035,clinton,1809,1482,italian,1252.0
5034,clinton,1993,36014,spanish,4717.0
6584,clive,1836,22245,english,2356.0
6585,clive,1868,6573,german,3899.0
10816,cloro,1810,578,spanish,894.0
10817,cloro,1835,974,italian,4278.0
10812,cloruro,1810,712,spanish,688.0
10813,cloruro,1835,902,italian,4588.0
13766,cloud,1800,2978,english,3277.0
13767,cloud,1861,16610,french,4705.0
1636,club,1800,218,italian,3692.0
1634,club,1800,2370,english,3971.0
1637,club,1801,4454,french,3917.0
1635,club,1813,576,spanish,4463.0
7765,clubs,1848,11448,french,3656.0
7764,clubs,1902,35871,english,4729.0
7528,cluster,1978,122337,english,4883.0
7529,cluster,2006,32017,german,4968.0
88,cm,1807,311,german,4650.0
86,cm,1892,5804,spanish,2410.0
87,cm,1892,3750,italian,4174.0
89,cm,1895,15660,french,3990.0
85,cm,1895,25685,english,4895.0
6078,coa,1800,3566,spanish,791.0
6079,coa,1806,612,italian,2758.0
7657,coalition,1800,2906,french,4093.0
7656,coalition,1970,116163,english,4772.0
2206,cod,1802,4323,english,3081.0
2208,cod,1803,442,italian,4437.0
2209,cod,1805,5244,french,2780.0
2207,cod,1836,1582,spanish,2937.0
1149,code,1800,4524,french,2709.0
1146,code,1800,2018,english,4508.0
1148,code,1808,753,german,2373.0
1147,code,1809,418,italian,4936.0
7536,codes,1976,117807,english,4928.0
7537,codes,1980,16747,french,4952.0
6018,codex,1802,5860,english,2307.0
6019,codex,1808,422,german,4285.0
8049,coefficient,1847,12613,french,4762.0
8048,coefficient,1915,34340,english,4688.0
7419,coefficients,1847,12437,french,4835.0
7418,coefficients,1935,33735,english,4622.0
7604,cognitive,1969,110652,english,4806.0
7605,cognitive,2005,30831,french,4919.0
13472,coin,1800,2892,english,3357.0
13473,coin,1800,3548,french,3419.0
8745,coincide,1943,3058,italian,4630.0
8744,coincide,1950,11500,spanish,4895.0
7172,coke,1817,5578,english,4168.0
7173,coke,1919,7147,french,4640.0
4676,cola,1800,1360,spanish,2492.0
4678,cola,1815,702,german,2412.0
4677,cola,1820,1158,italian,3592.0
12372,colera,1810,146,spanish,4034.0
12373,colera,1831,812,italian,4411.0
7407,collaboration,1895,12022,french,4998.0
7406,collaboration,1943,25451,english,4823.0
9288,colle,1800,3238,italian,68.0
9289,colle,1803,3622,french,4691.0
12902,collection,1800,7095,english,1335.0
12903,collection,1800,5008,french,2475.0
5898,collections,1801,2870,english,4626.0
5899,collections,1808,3570,french,4811.0
8113,collective,1886,10560,french,4926.0
8112,collective,1918,27926,english,4891.0
14200,college,1800,7466,english,1244.0
14201,college,1897,7375,german,4352.0
8429,colline,1800,2848,french,4173.0
8428,colline,1801,92,italian,4270.0
12311,colmo,1801,86,italian,4523.0
12310,colmo,1823,364,spanish,4006.0
8065,colombia,1819,1480,spanish,1441.0
8064,colombia,1913,36830,english,4830.0
2043,colon,1800,1122,spanish,3048.0
2045,colon,1802,3193,french,4703.0
2044,colon,1823,1698,italian,2690.0
2042,colon,1913,37161,english,4789.0
13460,colonel,1800,6868,english,1384.0
13461,colonel,1800,4163,french,2930.0
5887,colonia,1800,330,italian,2390.0
5886,colonia,1800,1098,spanish,3107.0
4691,colonial,1805,3034,english,4729.0
4692,colonial,1817,706,spanish,2587.0
4693,colonial,1898,15428,french,4296.0
10176,coloniale,1885,4362,italian,3410.0
10177,coloniale,1885,12078,french,4670.0
12238,coloniales,1811,158,spanish,4656.0
12239,coloniales,1899,14154,french,4599.0
2725,colonie,1800,3402,french,3535.0
2723,colonie,1800,162,italian,4994.0
2724,colonie,1811,553,german,2731.0
13335,colonies,1800,6550,french,1855.0
13334,colonies,1800,4547,english,2168.0
2953,colonne,1800,10312,french,1083.0
2951,colonne,1800,354,italian,2241.0
2952,colonne,1802,407,german,4436.0
10746,colono,1808,312,spanish,4891.0
10747,colono,1815,314,italian,4970.0
5157,color,1800,9144,spanish,171.0
5158,color,1800,686,italian,1005.0
5156,color,1832,14216,english,3109.0
7907,colorado,1808,306,spanish,4982.0
7906,colorado,1890,33947,english,3212.0
10645,colorante,1800,2394,french,4824.0
10644,colorante,1803,756,spanish,3979.0
807,com,1800,745,italian,887.0
805,com,1800,4589,english,2136.0
809,com,1800,4420,french,2756.0
806,com,1800,1032,spanish,3290.0
808,com,1819,557,german,4739.0
6191,comandante,1800,1358,italian,364.0
6190,comandante,1800,1678,spanish,2013.0
8761,comando,1800,646,italian,1082.0
8760,comando,1932,5044,spanish,4879.0
13979,combat,1800,10378,french,1071.0
13978,combat,1800,2312,english,4056.0
11270,combina,1800,734,spanish,4577.0
11271,combina,1802,330,italian,4056.0
13266,combination,1800,4952,english,1969.0
13267,combination,1870,4047,german,4546.0
6657,combine,1800,4053,french,3017.0
6656,combine,1804,2904,english,4938.0
3814,combustible,1800,2834,french,4186.0
3813,combustible,1800,798,spanish,4239.0
3812,combustible,1804,3658,english,4136.0
11333,combustibles,1800,2836,french,4185.0
11332,combustibles,1802,762,spanish,4257.0
3850,combustion,1800,6994,french,1711.0
3849,combustion,1800,1140,spanish,3005.0
3848,combustion,1804,4115,english,3765.0
5069,comes,1800,10097,english,866.0
5070,comes,1801,812,spanish,3339.0
5071,comes,1813,396,italian,4836.0
7340,comet,1803,4002,english,3507.0
7341,comet,1811,413,german,3679.0
12586,cometa,1822,918,spanish,3850.0
12587,cometa,1844,2119,italian,4130.0
10528,cometen,1805,786,spanish,4797.0
10529,cometen,1811,1110,german,1262.0
12005,comité,1800,7178,french,1667.0
12004,comité,1876,2556,spanish,4777.0
8861,comités,1801,8783,french,1993.0
8860,comités,1969,20446,spanish,4890.0
8166,comm,1803,664,italian,2996.0
8167,comm,1851,33339,french,1418.0
3883,commandant,1800,8392,french,1382.0
3882,commandant,1807,288,german,4957.0
3881,commandant,1810,411,italian,3746.0
14064,commander,1800,6060,english,1577.0
14065,commander,1800,2435,french,4751.0
13719,commence,1800,14758,french,685.0
13718,commence,1800,2106,english,4373.0
14187,commencement,1800,14872,french,680.0
14186,commencement,1800,4652,english,2108.0
1193,commerce,1800,45420,french,119.0
1190,commerce,1800,14613,english,506.0
1191,commerce,1804,1822,italian,2172.0
1192,commerce,2001,23854,german,4788.0
13680,commercial,1800,4418,english,2244.0
13681,commercial,1856,14562,french,4193.0
9980,commerciale,1815,782,italian,1875.0
9981,commerciale,1833,6354,french,4816.0
8563,commissaire,1800,6712,french,1790.0
8562,commissaire,1810,648,italian,2257.0
10071,commissaires,1800,9003,french,1280.0
10070,commissaires,1810,451,italian,3368.0
1265,commission,1800,12303,french,842.0
1262,commission,1800,8530,english,1082.0
1264,commission,1800,771,german,1322.0
1263,commission,1810,454,italian,3339.0
3166,commissions,1814,2499,french,4454.0
3165,commissions,1831,1646,german,4753.0
3164,commissions,1916,32418,english,4794.0
13534,committee,1800,9114,english,992.0
13535,committee,1844,5202,german,2590.0
13114,commonwealth,1801,4410,english,3260.0
13115,commonwealth,1961,12838,german,3960.0
7687,communal,1813,2498,french,4792.0
7686,communal,1972,115966,english,4872.0
104,commune,1800,30224,french,246.0
102,commune,1809,444,italian,4678.0
101,commune,1871,2432,spanish,4142.0
100,commune,1871,16776,english,4334.0
103,commune,1875,4563,german,4102.0
8481,communes,1800,14720,french,688.0
8480,communes,1809,548,italian,3788.0
13559,communication,1800,12344,french,837.0
13558,communication,1800,5408,english,1786.0
6969,communications,1800,3904,french,3142.0
6968,communications,1807,3312,english,4891.0
13502,communion,1800,3711,english,2694.0
13503,communion,1815,2610,french,4982.0
13554,community,1800,3646,english,2742.0
13555,community,2005,32185,german,4787.0
10239,comp,1887,11968,french,4798.0
10238,comp,1929,4871,italian,3281.0
2968,compagnie,1800,10664,french,1032.0
2966,compagnie,1800,370,italian,2116.0
2967,compagnie,1801,461,german,3079.0
13610,company,1800,23292,english,233.0
13611,company,1902,3980,spanish,4651.0
5522,comparative,1801,2754,english,4789.0
5523,comparative,1979,18156,french,4547.0
3956,compare,1800,3544,english,2811.0
3958,compare,1800,3549,french,3418.0
3957,compare,1927,3598,italian,3888.0
12391,compas,1800,2559,french,4538.0
12390,compas,1811,196,spanish,3856.0
12922,compassion,1800,3010,english,3249.0
12923,compassion,1810,3582,french,4295.0
7549,compatible,1811,154,spanish,4769.0
7548,compatible,1990,207362,english,4821.0
5812,compendio,1800,852,spanish,3959.0
5813,compendio,1800,162,italian,4995.0
4174,compensation,1802,5426,french,2910.0
4172,compensation,1802,2467,english,4865.0
4173,compensation,1876,7944,german,2390.0
4635,compete,1802,900,spanish,3597.0
4636,compete,1807,314,italian,4867.0
4634,compete,1995,234467,english,4999.0
5820,competente,1800,856,spanish,3940.0
5821,competente,1812,242,italian,4584.0
12432,complemento,1811,278,spanish,2796.0
12433,complemento,1873,2092,italian,4917.0
6204,completa,1800,1730,spanish,1958.0
6205,completa,1801,110,italian,3613.0
5878,completamente,1800,1092,spanish,3129.0
5879,completamente,1801,98,italian,4015.0
5766,completo,1800,908,spanish,3730.0
5767,completo,1836,922,italian,4937.0
13288,complex,1801,6836,english,2182.0
13289,complex,1868,9007,german,2838.0
9626,complexe,1868,6146,german,4198.0
9627,complexe,1876,9574,french,4962.0
3925,complexes,1800,2529,french,4584.0
3924,complexes,1868,7439,german,3425.0
3923,complexes,1976,117254,english,4946.0
14354,complexion,1801,3006,english,4477.0
14355,complexion,1810,132,spanish,4398.0
8043,complications,1871,5395,french,4974.0
8042,complications,1916,31672,english,4880.0
5328,compone,1800,4330,spanish,606.0
5329,compone,1836,1226,italian,3727.0
8982,componente,1909,3208,spanish,4734.0
8983,componente,1943,2926,italian,4840.0
3196,compose,1800,4757,french,2587.0
3194,compose,1800,2776,english,3478.0
3195,compose,1802,324,italian,4127.0
7489,composer,1800,3766,french,3243.0
7488,composer,1934,38559,english,3811.0
3637,composition,1800,12835,french,794.0
3635,composition,1800,7056,english,1344.0
3636,composition,1838,3588,german,3593.0
13838,compositions,1800,1914,english,4718.0
13839,compositions,1810,3114,french,4822.0
11142,compra,1801,825,spanish,3286.0
11143,compra,1803,984,italian,2005.0
12659,comprende,1800,462,italian,1616.0
12658,comprende,1815,356,spanish,3449.0
10845,compresa,1803,436,italian,4490.0
10844,compresa,1809,182,spanish,3532.0
2512,compression,1800,3446,french,3491.0
2511,compression,1871,3313,german,4445.0
2510,compression,1873,17531,english,4345.0
6430,comprises,1840,11149,english,4822.0
6431,comprises,1841,9157,french,4833.0
8517,compte,1800,24458,french,332.0
8516,compte,1810,548,italian,2718.0
10061,compter,1800,10346,french,1077.0
10060,compter,1810,464,italian,3255.0
4922,computer,1957,55355,english,4782.0
4924,computer,1968,17470,german,4630.0
4923,computer,1982,13219,italian,3875.0
3586,comte,1800,16780,french,585.0
3585,comte,1809,635,italian,3235.0
3584,comte,1893,28280,english,4270.0
5326,comun,1800,14136,spanish,75.0
5327,comun,1800,304,italian,2628.0
6300,comunica,1800,2062,spanish,1610.0
6301,comunica,1800,216,italian,3745.0
8771,comunismo,1854,2170,italian,3805.0
8770,comunismo,1932,6194,spanish,4035.0
8769,comunista,1921,3166,italian,4079.0
8768,comunista,1932,7246,spanish,3460.0
9207,comunitaria,1969,11325,italian,4791.0
9206,comunitaria,1986,31180,spanish,4820.0
9221,comunitario,1969,10825,italian,5000.0
9220,comunitario,1991,33944,spanish,4834.0
5868,concede,1800,1066,spanish,3188.0
5869,concede,1809,470,italian,4409.0
3841,concentration,1871,6746,french,4085.0
3840,concentration,1877,5683,german,3604.0
3839,concentration,1902,36575,english,4643.0
7441,concentrations,1941,3535,french,4791.0
7440,concentrations,1943,25482,english,4816.0
7269,concept,1845,20311,french,2973.0
7268,concept,1881,21941,english,4645.0
13280,conception,1800,2248,english,4131.0
13281,conception,1801,5108,french,3472.0
6259,conceptions,1801,3714,french,4578.0
6258,conceptions,1801,2654,english,4921.0
7911,concepts,1845,14582,french,4122.0
7910,concepts,1889,21962,english,4535.0
7690,conceptual,1971,113164,english,4888.0
7691,conceptual,1977,24921,spanish,4914.0
8547,concerne,1800,4810,french,2565.0
8546,concerne,1810,716,italian,2029.0
3295,concert,1800,3258,french,3670.0
3293,concert,1800,2294,english,4082.0
3294,concert,1821,609,german,4884.0
9631,concession,1806,2724,french,4377.0
9630,concession,1871,6831,german,2135.0
3349,concessions,1827,9690,french,3986.0
3348,concessions,1871,3721,german,3953.0
3347,concessions,1928,31704,english,4993.0
10350,concil,1829,941,italian,4690.0
10351,concil,1846,3416,german,4950.0
3854,concilio,1800,2550,spanish,1240.0
3855,concilio,1801,320,italian,1114.0
3856,concilio,1835,2687,german,3156.0
10299,concilium,1835,5894,german,1377.0
10298,concilium,1869,2746,italian,4574.0
14224,conclude,1800,7640,english,1215.0
14225,conclude,1809,608,italian,3394.0
3131,conclusion,1800,6257,english,1529.0
3133,conclusion,1800,3270,french,3649.0
3132,conclusion,1800,810,spanish,4161.0
6334,conclusions,1801,2614,english,4961.0
6335,conclusions,1803,4430,french,3938.0
10492,concordato,1805,3324,spanish,1068.0
10493,concordato,1814,450,italian,2501.0
5782,concordia,1800,930,spanish,3645.0
5783,concordia,1800,164,italian,4920.0
10748,concreta,1808,310,spanish,4917.0
10749,concreta,1890,2794,italian,4815.0
8750,concretamente,1953,12284,spanish,4821.0
8751,concretamente,1969,10874,italian,4975.0
2506,concrete,1841,3570,german,2897.0
2504,concrete,1885,24752,english,4441.0
2505,concrete,1953,6116,italian,4418.0
10628,concreto,1803,854,spanish,3564.0
10629,concreto,1846,2850,italian,3489.0
13022,concurrence,1800,2162,english,4273.0
13023,concurrence,1800,2734,french,4301.0
11694,cond,1838,662,spanish,4324.0
11695,cond,1860,3150,italian,2901.0
10153,condamné,1800,3962,french,3090.0
10152,condamné,1810,360,italian,4291.0
10151,condamnés,1800,2984,french,3988.0
10150,condamnés,1810,362,italian,4273.0
6923,conde,1800,5496,spanish,420.0
6922,conde,1814,4238,english,4807.0
10308,condillac,1836,916,italian,4981.0
10309,condillac,1944,3875,german,2607.0
13798,condition,1800,16400,english,418.0
13799,condition,1800,8390,french,1383.0
2806,conditions,1800,11168,french,963.0
2804,conditions,1800,5300,english,1833.0
2805,conditions,1951,4797,italian,4282.0
12284,condorcet,1813,940,spanish,2779.0
12285,condorcet,1824,8576,french,4975.0
5710,conduce,1800,1374,spanish,2468.0
5711,conduce,1800,184,italian,4406.0
11576,conducente,1801,544,spanish,4876.0
11577,conducente,2008,22454,italian,4920.0
6895,conductor,1801,532,spanish,4960.0
6894,conductor,1815,4074,english,4679.0
8362,condé,1801,468,italian,688.0
8363,condé,1801,5083,french,3484.0
11752,conf,1824,348,spanish,4947.0
11753,conf,1884,3110,italian,4586.0
14014,confederate,1800,2506,english,3810.0
14015,confederate,1806,396,italian,4316.0
13034,conference,1800,2166,english,4269.0
13035,conference,1824,9243,french,4660.0
1594,confession,1800,2394,english,3941.0
1595,confession,1801,530,spanish,4975.0
1597,confession,1817,5733,french,3534.0
1596,confession,1830,2433,german,2788.0
7628,configuration,1965,91926,english,4835.0
7629,configuration,1985,18736,french,4690.0
11534,confina,1802,1472,spanish,2195.0
11535,confina,1818,720,italian,4227.0
14133,confine,1800,210,italian,3853.0
14132,confine,1800,2317,english,4047.0
13880,confirmation,1800,1914,english,4719.0
13881,confirmation,1811,3316,french,4104.0
3683,conforme,1800,5564,spanish,413.0
3684,conforme,1800,502,italian,1472.0
3685,conforme,1800,5650,french,2184.0
5872,conformes,1800,1086,spanish,3145.0
5873,conformes,1806,2392,french,4867.0
8505,conformément,1800,5676,french,2172.0
8504,conformément,1810,806,italian,1767.0
3723,confusion,1800,2391,spanish,1355.0
3722,confusion,1800,5632,english,1703.0
3724,confusion,1800,4404,french,2769.0
8455,confédération,1807,8282,french,1729.0
8454,confédération,1809,444,italian,4679.0
6641,congestion,1827,1258,spanish,2664.0
6640,congestion,1872,14402,english,4995.0
1342,congo,1818,6205,english,4250.0
1345,congo,1883,11362,french,4879.0
1344,congo,1939,4932,italian,4230.0
1343,congo,1960,18488,spanish,4566.0
12844,congress,1800,4984,english,1956.0
12845,congress,1875,3926,german,4747.0
10568,congrua,1805,938,spanish,4068.0
10569,congrua,1899,5278,italian,3254.0
14044,conjecture,1800,3185,english,3109.0
14045,conjecture,1800,2657,french,4402.0
5611,conjectures,1800,3025,french,3945.0
5610,conjectures,1801,2804,english,4719.0
4031,connecticut,1802,2502,english,4821.0
4032,connecticut,1808,432,spanish,3627.0
4033,connecticut,1809,482,italian,4296.0
13078,connexion,1800,2284,english,4095.0
13079,connexion,2004,30685,french,4921.0
11133,cono,1801,260,italian,1445.0
11132,cono,1801,852,spanish,3178.0
10903,conoscer,1800,176,italian,4599.0
10902,conoscer,1807,1646,spanish,2776.0
6350,conquista,1800,1842,spanish,1822.0
6351,conquista,1800,240,italian,3363.0
11639,conrado,1813,612,italian,3093.0
11638,conrado,1831,638,spanish,4697.0
3626,cons,1805,5650,spanish,512.0
3627,cons,1818,1203,italian,2414.0
3628,cons,1929,12775,french,4034.0
10396,consalvi,1865,2759,italian,4840.0
10397,consalvi,1869,17142,french,4339.0
13068,conscience,1800,7391,english,1267.0
13069,conscience,1800,5360,french,2303.0
9920,conscrit,1810,322,italian,4817.0
9921,conscrit,1811,4250,french,3238.0
8571,conscrits,1806,2735,french,4360.0
8570,conscrits,1810,665,italian,2193.0
5032,conseil,1800,38286,french,161.0
5030,conseil,1809,638,italian,3220.0
5031,conseil,1853,3350,german,4828.0
8819,consenso,1800,378,italian,2069.0
8818,consenso,1977,24940,spanish,4910.0
7531,consensus,1977,17326,french,4823.0
7530,consensus,1978,126780,english,4755.0
12409,consentir,1805,2844,french,4876.0
12408,consentir,1811,168,spanish,4423.0
3116,conserva,1800,3158,spanish,959.0
3117,conserva,1800,316,italian,2514.0
3118,conserva,1806,2415,french,4839.0
6104,conservar,1800,3958,spanish,679.0
6105,conservar,1806,356,italian,4779.0
8105,conservation,1800,6562,french,1849.0
8104,conservation,1918,27330,english,4969.0
11785,conserve,1800,9502,french,1197.0
11784,conserve,1823,294,spanish,4900.0
13776,considerable,1800,30286,english,159.0
13777,considerable,1800,3752,spanish,739.0
6257,considerando,1800,482,italian,1549.0
6256,considerando,1800,1602,spanish,2112.0
2579,consiste,1800,6168,spanish,351.0
2581,consiste,1800,12476,french,825.0
2580,consiste,1800,712,italian,951.0
13828,consistent,1800,2741,english,3520.0
13829,consistent,1802,3660,french,4197.0
9011,consistente,1800,202,italian,3992.0
9010,consistente,1983,30032,spanish,4880.0
14288,consolation,1800,2459,english,3856.0
14289,consolation,1804,3628,french,4012.0
11408,consonante,1803,924,spanish,3299.0
11409,consonante,1807,354,italian,4350.0
10783,consorte,1802,372,italian,3558.0
10782,consorte,1808,370,spanish,4202.0
6150,consta,1800,3310,spanish,896.0
6151,consta,1834,1178,italian,4070.0
7129,constance,1800,4279,french,2846.0
7128,constance,1827,10743,english,3336.0
2432,constant,1800,7573,english,1225.0
2434,constant,1800,5869,french,2090.0
2433,constant,1855,3690,german,4751.0
3401,constante,1800,3446,spanish,832.0
3403,constante,1800,6816,french,1764.0
3402,constante,1860,4436,german,4647.0
11194,constantes,1800,774,spanish,4350.0
11195,constantes,1811,3196,french,4229.0
9625,constantin,1800,2380,french,4853.0
9624,constantin,1867,5210,german,4868.0
6320,constantine,1802,6752,english,2005.0
6321,constantine,1838,9890,french,4388.0
