,word,year,count,language,Rank
4872,admiral,1806,533,german,4687.0
4873,admiral,1822,7365,french,4726.0
13392,admiration,1800,6584,english,1448.0
13393,admiration,1800,6331,french,1924.0
13064,admission,1800,2544,english,3760.0
13065,admission,1807,2814,french,4897.0
7498,adolescent,1980,128509,english,4940.0
7499,adolescent,2007,36919,french,4457.0
6286,adolescents,1990,202970,english,4907.0
6287,adolescents,2000,30547,french,4844.0
11947,adolfo,1815,314,italian,4967.0
11946,adolfo,1864,3605,spanish,3979.0
7179,adoption,1801,8968,french,1944.0
7178,adoption,1806,2934,english,4993.0
4598,adorno,1800,904,spanish,3751.0
4599,adorno,1812,234,italian,4725.0
4600,adorno,1971,17249,german,4639.0
9747,adresse,1800,8763,french,1314.0
9746,adresse,1820,1044,german,2632.0
12193,adriano,1802,468,italian,2797.0
12192,adriano,1812,232,spanish,4375.0
10891,adulterio,1806,354,italian,4801.0
10890,adulterio,1807,2850,spanish,1531.0
11552,adulto,1802,1108,spanish,2891.0
11553,adulto,1877,2570,italian,4372.0
12447,ae,1807,4271,french,3365.0
12446,ae,1811,212,spanish,3576.0
10255,aehrenthal,1925,13748,german,2649.0
10254,aehrenthal,1942,3680,italian,3740.0
9584,af,1814,274,german,4772.0
9585,af,1934,12911,french,3529.0
10399,affaires,1800,16660,french,588.0
10398,affaires,1865,2744,italian,4864.0
6178,affectation,1801,2631,english,4945.0
6179,affectation,1810,3406,french,4481.0
2825,affection,1800,8801,english,1042.0
2827,affection,1800,5385,french,2293.0
2826,affection,1810,353,german,4971.0
13450,affections,1800,5270,english,1851.0
13451,affections,1800,6381,french,1915.0
7844,affidavit,1884,22882,english,4928.0
7845,affidavit,1947,3555,german,4613.0
9608,afghanistan,1940,3612,german,4974.0
9609,afghanistan,1980,20955,french,4064.0
1664,africa,1800,512,italian,1445.0
1662,africa,1800,5680,english,1685.0
1663,africa,1800,1458,spanish,2315.0
1665,africa,1969,15898,german,4963.0
4364,age,1800,33742,english,133.0
4366,age,1900,15203,french,4849.0
4365,age,1979,10838,italian,4922.0
4403,agenda,1989,192088,english,4815.0
4404,agenda,1991,35093,spanish,4702.0
4405,agenda,1998,17957,german,4577.0
9935,agens,1800,7093,french,1688.0
9934,agens,1810,316,italian,4897.0
3061,agent,1800,4300,french,2830.0
3059,agent,1800,3020,english,3240.0
3060,agent,2007,40971,german,4498.0
5745,agente,1800,218,italian,3688.0
5744,agente,1800,892,spanish,3792.0
13642,agents,1800,3670,english,2724.0
13643,agents,1824,9664,french,4457.0
7434,aggression,1940,36416,english,4484.0
7435,aggression,1957,8434,german,4423.0
9088,agi,1800,244,italian,3298.0
9089,agi,1815,2751,french,4771.0
4759,agitation,1800,3872,french,3165.0
4757,agitation,1800,2692,english,3579.0
4758,agitation,1883,4793,german,4368.0
14206,ago,1800,7514,english,1234.0
14207,ago,1801,346,italian,1005.0
6123,agosto,1800,808,italian,789.0
6122,agosto,1800,2864,spanish,1078.0
8749,agr,1911,4384,italian,3312.0
8748,agr,1951,10406,spanish,4983.0
8949,agraria,1827,1156,italian,4903.0
8948,agraria,1919,5606,spanish,4221.0
8995,agrario,1828,1118,italian,3009.0
8994,agrario,1914,4420,spanish,4732.0
